,Macro,Macro,Macro,Micro,Micro,Micro,
Fold,Precision,Recall,F1,Precision,Recall,F1,Accuracy
1,0.547859768907563,0.4913217152743856,0.4536653379448078,0.49166666666666664,0.49166666666666664,0.49166666666666664,0.49166666666666664
2,0.5864703989703989,0.49599081806370965,0.45070567080644786,0.49166666666666664,0.49166666666666664,0.49166666666666664,0.49166666666666664
3,0.51251431900105,0.4553655920023236,0.41136484658714273,0.45188284518828453,0.45188284518828453,0.45188284518828453,0.45188284518828453
4,0.5379331593446426,0.47638501348013795,0.44866852895323533,0.4811715481171548,0.4811715481171548,0.4811715481171548,0.4811715481171548
5,0.4710803793398028,0.44439997376796336,0.4208472553896294,0.45188284518828453,0.45188284518828453,0.45188284518828453,0.45188284518828453
6,0.6217897842897843,0.5239931307758243,0.5000891750142681,0.5062761506276151,0.5062761506276151,0.5062761506276151,0.5062761506276151
7,0.6121285721897591,0.47712862318840576,0.4017011877088899,0.42677824267782427,0.42677824267782427,0.42677824267782427,0.42677824267782427
8,0.492557354925776,0.4161483246472002,0.3737986816380853,0.4309623430962343,0.4309623430962343,0.4309623430962343,0.4309623430962343
9,0.6467194950226189,0.5012962047988142,0.4973597386845691,0.5230125523012552,0.5230125523012552,0.5230125523012552,0.5230125523012552
10,0.5789100234758762,0.46796066252587987,0.4460634271723392,0.4811715481171548,0.4811715481171548,0.4811715481171548,0.4811715481171548
Average,0.5607963255467272,0.4749990058524645,0.4404263849899414,0.4736471408647141,0.4736471408647141,0.4736471408647141,0.4736471408647141
