,Macro,Macro,Macro,Micro,Micro,Micro,
Fold,Precision,Recall,F1,Precision,Recall,F1,Accuracy
1,0.5197137087194108,0.49131825961055253,0.45842502996080237,0.49583333333333335,0.49583333333333335,0.49583333333333335,0.49583333333333335
2,0.549745868863516,0.5528297633854145,0.5044996722093094,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
3,0.5217633928571428,0.3269774011299435,0.22570464033878668,0.3054393305439331,0.3054393305439331,0.3054393305439331,0.3054393305439331
4,0.5537250678446691,0.5098335878534216,0.5022909745293466,0.5104602510460251,0.5104602510460251,0.5104602510460251,0.5104602510460251
5,0.5188966145762972,0.49904462448681597,0.4729475085044813,0.497907949790795,0.497907949790795,0.497907949790795,0.497907949790795
6,0.5898298181177264,0.5588745617860778,0.5352194669286795,0.5481171548117155,0.5481171548117155,0.5481171548117155,0.5481171548117155
7,0.5003892868265337,0.3286503623188406,0.2472922502334267,0.33472803347280333,0.33472803347280333,0.33472803347280333,0.33472803347280333
8,0.48775342874180083,0.4643913162466386,0.4488101960035407,0.4895397489539749,0.4895397489539749,0.4895397489539749,0.4895397489539749
9,0.5671684325175482,0.548775508671133,0.5252747252747253,0.5606694560669456,0.5606694560669456,0.5606694560669456,0.5606694560669456
10,0.5367458062770563,0.32976190476190476,0.27398550007637934,0.3682008368200837,0.3682008368200837,0.3682008368200837,0.3682008368200837
Average,0.5345731425341702,0.4610457290250743,0.41944499640594773,0.46442294281729424,0.46442294281729424,0.46442294281729424,0.46442294281729424
